,nam,address,telephone,city
0,Pharmacie Tikida,"Pharmacie Tikida, hay al houda, imm. t... ",052832...,Agadir
1,Pharmacie Cadi Ben Driss,"Pharmacie Cadi Ben Driss, hay dakhla, ... ",052823...,Agadir
2,Pharmacie Al Haad,"Pharmacie Al Haad, anza al oulya imm9 ... ",052820...,Agadir
3,Pharmacie Valtur,"Pharmacie Valtur, 1, secteur touristiq... ",052882...,Agadir
4,Pharmacie Amrani,"Pharmacie Amrani, n°1, parcelle 1843,... ",052828...,Agadir
5,Pharmacie Chadia,"Pharmacie Chadia, lotiss. mohammadia, ... ",052822...,Agadir
6,Pharmacie Tildi,"Pharmacie Tildi, lotiss. tildi, rue ou... ",052882...,Agadir
7,Pharmacie Ouahbi,"Pharmacie Ouahbi, 56, rue al wahda al ... ",052823...,Agadir
8,Pharmacie El Hassania,"Pharmacie El Hassania, 56  lotiss. has... ",052820...,Agadir
9,Pharmacie Nisrine,"Pharmacie Nisrine, 58, hay bensergao, ... ",052828...,Agadir
10,Pharmacie El Wafa,"Pharmacie El Wafa, 25 bis, bd abderrah... ",052822...,Agadir
11,Pharmacie hay Makam,"Pharmacie hay Makam, quartier Aïn Bor... ",052263...,Agadir
12,Pharmacie Tissir II,"Pharmacie Tissir II, hay tissir ii, av... ",052262...,Agadir
13,Pharmacie du Caf,"Pharmacie du Caf, 1, rue Oukhouane - e... ",052239...,Agadir
14,Pharmacie le Projet,"Pharmacie le Projet, bd Dr Mohamed Jen... ",052262...,Agadir
15,Pharmacie Al Walaâ,"Pharmacie Al Walaâ,   hay Alwalaa sec... ",052272...,Agadir
16,Pharmacie de Bourgogne,"Pharmacie de Bourgogne, 341, bd Mohame... ",052227...,Agadir
17,Pharmacie Sabri,"Pharmacie Sabri, N°378, Boulevard Dak... ",052250...,Agadir
18,Pharmacie Casa Hills,"Pharmacie Casa Hills, quartier Ahl Log... ",066094...,Agadir
19,Pharmacie derb Tolba,"Pharmacie derb Tolba, derb Chorfa Tolb... ",052285...,Agadir
20,Pharmacie Ibn Sina,"Pharmacie Ibn Sina, 319  bd. Chouhada ... ",052262...,Agadir
21,Pharmacie la Palmeraie,"Pharmacie la Palmeraie, Hay Al Qods, R... ",052273...,Agadir
22,Pharmacie la Villette,"Pharmacie la Villette, 23, rue Abou Ba... ",052261...,Agadir
