,nam,address,telephone,city
0,Pharmacie Dakhla,"Pharmacie Dakhla, 14, rue al farabi, c... ",052822...,agadir
1,Pharmacie Paris,"Pharmacie Paris, rue talat, résid. da... ",052826...,agadir
2,Pharmacie AlMouna,"Pharmacie AlMouna, bd abderrahim bouab... ",052822...,agadir
3,Pharmacie Founty,"Pharmacie Founty, 11, bd hassan ii, a ... ",052884...,agadir
4,Pharmacie le Caducée,"Pharmacie le Caducée, 6, bd abderrahi... ",052823...,agadir
5,Pharmacie Moulay Youssef, ,077051...,agadir
6,Pharmacie Zineb,"Pharmacie Zineb, hay mohammadi, imm. b... ",052823...,agadir
7,Pharmacie Maroc,"Pharmacie Maroc, hay al houda, imm. en... ",052832...,agadir
8,Pharmacie Oubelkhir,"Pharmacie Oubelkhir, rue 110 hay el fa... ",052828...,agadir
9,Pharmacie Lamalmi,"Pharmacie Lamalmi, 594  bd. AlMassira... ",053633...,nador
10,Pharmacie AlMahatta,"Pharmacie AlMahatta, 254  av Hassan II... ",053660...,nador
11,Pharmacie Dar El Makhzen,"Pharmacie Dar El Makhzen, Douar Bouyza... ",053633...,nador
12,Pharmacie Baraka,"Pharmacie Baraka, rue Baraka   ouled M... ",053660...,nador
13,Pharmacie Al Karam,"Pharmacie Al Karam, azib abkiou, route... ",053995...,tanger
14,Pharmacie Souani,"Pharmacie Souani, 43, avenue d'anfa so... ",053993...,tanger
15,Pharmacie Sabila Jmaa,"Pharmacie Sabila Jmaa, 1, rue malte, s... ",053937...,tanger
16,Pharmacie Gibraltar,"Pharmacie Gibraltar, 7, route de malab... ",053932...,tanger
17,Pharmacie Sania,"Pharmacie Sania, 2 bis, rue 3 sania, b... ",053936...,tanger
18,Pharmacie Al Masjid,"Pharmacie Al Masjid, avenue des far, r... ",053931...,tanger
19,Pharmacie Boukhalef,"Pharmacie Boukhalef, avenue moulay rac... ",053939...,tanger
20,Pharmacie Azhar Chifae,"Pharmacie Azhar Chifae, route principa... ",053995...,tanger
21,Pharmacie Chaab,"Pharmacie Chaab, hay Moulay Abdallah, ... ",052252...,casablanca
22,Pharmacie des Citronniers,"Pharmacie des Citronniers, 29 Bis, all... ",052234...,casablanca
23,Pharmacie Belvédère,"Pharmacie Belvédère, n°13, rue de S... ",052224...,casablanca
24,Pharmacie Abou Soulaimane,"Pharmacie Abou Soulaimane, 4, rue Abou... ",052282...,casablanca
25,Pharmacie du Golf d'Anfa,"Pharmacie du Golf d'Anfa, 5 C, av. Hab... ",052239...,casablanca
26,Pharmacie Kounouz,"Pharmacie Kounouz, bd Chefchaouni, km.... ",052267...,casablanca
27,Pharmacie Abdelhadi,"Pharmacie Abdelhadi, 149, avenue Akid ... ",052270...,casablanca
28,Pharmacie Ryad Sofia,"Pharmacie Ryad Sofia, quartier Lissasf... ",052290...,casablanca
29,Pharmacie Afak,"Pharmacie Afak, hay Mohammadi, bloc 22... ",052262...,casablanca
30,Pharmacie Ibn Batouta,"Pharmacie Ibn Batouta, 78, rue Ibn Bat... ",052222...,casablanca
31,Pharmacie de l'hôpital Med V,"Pharmacie de l'hôpital Med V, 62  bd ... ",052235...,casablanca
32,Pharmacie Kissariat Aziza,"Pharmacie Kissariat Aziza, 86, bd de l... ",052263...,casablanca
33,Pharmacie Zamzam,"Pharmacie Zamzam, lotiss. Lina, H2 lot... ",052258...,casablanca
34,Pharmacie Sophia,"Pharmacie Sophia, 214, bd Ibn Sina - e... ",052236...,casablanca
35,Pharmacie Adil,"Pharmacie Adil, hay Mohammadi, ElMassi... ",052263...,casablanca
36,Pharmacie Narjis,"Pharmacie Narjis, 141, bd Yacoub El Ma... ",052225...,casablanca
37,Pharmacie des Abattoirs,"Pharmacie des Abattoirs, N°78, Rue Ab... ",052262...,casablanca
38,Pharmacie Porte de Californie,"Pharmacie Porte de Californie, 109, ro... ",052281...,casablanca
39,Pharmacie Ibtisseme,"Pharmacie Ibtisseme, 98, hay Pam , Oul... ",052297...,casablanca
40,Pharmacie Noon,"Pharmacie Noon, 12, rue abdelkrim el y... ",052263...,casablanca
41,Pharmacie Krimat,"Pharmacie Krimat, 341, bd Panoramique ... ",052252...,casablanca
42,Pharmacie Ahl Assalam,"Pharmacie Ahl Assalam, Quartier Ahl Lo... ",052201...,casablanca
43,Pharmacie AlHakim,"Pharmacie AlHakim,   hay Hassani ang. ... ",052290...,casablanca
44,Pharmacie Riad Al Hadika,"Pharmacie Riad Al Hadika, lotiss. Alha... ",052270...,casablanca
45,Pharmacie Jawad,"Pharmacie Jawad, hay Moulay Rachid II ... ",052270...,casablanca
46,Pharmacie l'Horizon,"Pharmacie l'Horizon, hay Saada ang. ru... ",052275...,casablanca
47,Pharmacie Loukkos,"Pharmacie Loukkos, 125/127, bd Oued Zi... ",052290...,casablanca
48,Pharmacie Athina,"Pharmacie Athina, cité Chabab, grp. C... ",052273...,casablanca
49,Pharmacie Siham,"Pharmacie Siham, lot. Omariya, rue 31 ... ",052252...,casablanca
50,Pharmacie du lycée,"Pharmacie du lycée, 8  rue de la Réu... ",052229...,casablanca
51,Pharmacie Ouzineb,"Pharmacie Ouzineb, 161, Bd Oqba Bnou N... ",052262...,casablanca
52,Pharmacie Mehdi Ben Barka,"Pharmacie Mehdi Ben Barka, avenue Mehd... ",052295...,casablanca
53,Pharmacie Ahmed Rayan,"Pharmacie Ahmed Rayan, hay El Oulfa, r... ",052289...,casablanca
54,Pharmacie Nasser,"Pharmacie Nasser, derb Sidi Maarouf IV... ",052228...,casablanca
55,Pharmacie Dikr Allah,"Pharmacie Dikr Allah, hay Sidi Moumen,... ",052270...,casablanca
56,Pharmacie ElYousr,"Pharmacie ElYousr, 32  bd de la Girond... ",052244...,casablanca
57, Pharmacie Al Morouna," Pharmacie Al Morouna, 13  bab Anassi ... ",080863...,casablanca
58,Pharmacie AlWissal,"Pharmacie AlWissal, bd Dr Mohamed Jenn... ",052263...,casablanca
59,Pharmacie Centrale Aïn Borja,"Pharmacie Centrale Aïn Borja, hay Ars... ",052260...,casablanca
60,Pharmacie Mimosas,"Pharmacie Mimosas, 400, bd Abdallah Ib... ",052298...,casablanca
61,Pharmacie du Grand Maghreb,"Pharmacie du Grand Maghreb, hay Moulay... ",052270...,casablanca
62,Pharmacie Michlifen,"Pharmacie Michlifen, 2 av michlifen... ",053767...,rabat
63,Pharmacie Normale,"Pharmacie Normale, 21, av. allal ben a... ",053770...,rabat
64,Pharmacie Arrahmane,"Pharmacie Arrahmane, groupe 20, 15 bis... ",053728...,rabat
65,Pharmacie Jnane Ennahda,"Pharmacie Jnane Ennahda, imm, 8 n°6 l... ",053775...,rabat
66,Pharmacie Al Melia,"Pharmacie Al Melia, avenue dr abdelkri... ",053775...,rabat
67,Pharmacie Tazi,"pharmacie tazi, n 11 lot. lahbabi, dok... ",053593...,fes
68,Pharmacie Fatima Fihriya,"Pharmacie Fatima Fihriya, n°167, derb... ",053574...,fes
69,Pharmacie Espace Vert,"Pharmacie Espace Vert, lotissement jna... ",060290...,fes
70,Pharmacie La Providence,"Pharmacie La Providence, n° 260 d, lo... ",053216...,fes
71,Pharmacie Mont Fleuri,"pharmacie mont fleuri, bd karama mont ... ",053564...,fes
72,Pharmacie Al Marwa,"pharmacie almarwa, lot alhadiqa 2 al o... ",053564...,fes
