,nam,address,telephone,city
0,Pharmacie Chadia,"Pharmacie Chadia, lotiss. mohammadia, ... ",052822...,Agadir
1,Pharmacie Valtur,"Pharmacie Valtur, 1, secteur touristiq... ",052882...,Agadir
2,Pharmacie Al Haad,"Pharmacie Al Haad, anza al oulya imm9 ... ",052820...,Agadir
3,Pharmacie Amrani,"Pharmacie Amrani, n°1, parcelle 1843,... ",052828...,Agadir
4,Pharmacie El Hassania,"Pharmacie El Hassania, 56  lotiss. has... ",052820...,Agadir
5,Pharmacie El Wafa,"Pharmacie El Wafa, 25 bis, bd abderrah... ",052822...,Agadir
6,Pharmacie Tikida,"Pharmacie Tikida, hay al houda, imm. t... ",052832...,Agadir
7,Pharmacie Nisrine,"Pharmacie Nisrine, 58, hay bensergao, ... ",052828...,Agadir
8,Pharmacie Ouahbi,"Pharmacie Ouahbi, 56, rue al wahda al ... ",052823...,Agadir
9,Pharmacie Tildi,"Pharmacie Tildi, lotiss. tildi, rue ou... ",052882...,Casablanca
10,Pharmacie Cadi Ben Driss,"Pharmacie Cadi Ben Driss, hay dakhla, ... ",052823...,Casablanca
11,Pharmacie Univers Santé,"Pharmacie Univers Santé, 116, rue Haj... ",052298...,Casablanca
12,Pharmacie hay Makam,"Pharmacie hay Makam, quartier Aïn Bor... ",052263...,Casablanca
13,Pharmacie Tissir II,"Pharmacie Tissir II, hay tissir ii, av... ",052262...,Casablanca
14,Pharmacie Ahmed Ali,"Pharmacie Ahmed Ali, 60 Bis, lotiss. E... ",052297...,Casablanca
15,Pharmacie Noufissa,"Pharmacie Noufissa, 2, c.com. Soufiane... ",052258...,Casablanca
16,Pharmacie le Nord,"Pharmacie le Nord, Bd Oued Oum Errabia... ",052289...,Casablanca
17,Pharmacie des Troenes,"Pharmacie des Troenes, 38, allée des ... ",052266...,Casablanca
18,Pharmacie Ibn Sina,"Pharmacie Ibn Sina, 319  bd. Chouhada ... ",052262...,Rabat
19,Pharmacie du Louvre,"Pharmacie du Louvre, 36, bd du 9 Avril... ",052225...,Rabat
20,Pharmacie du Polo,"Pharmacie du Polo, N°56 Bis, Avenue d... ",052250...,Rabat
21,Pharmacie Marché Santra,"Pharmacie Marché Santra,   cité Lall... ",052237...,Rabat
22,Pharmacie de l'Esperance,"Pharmacie de l'Esperance, bd Chefchaou... ",052266...,Rabat
23,Pharmacie Résidence Al Yakine,"Pharmacie Résidence Al Yakine, hay Si... ",052270...,Rabat
24,Pharmacie Lotf Allah,"Pharmacie Lotf Allah, hay Mohammadi, h... ",052260...,Rabat
25,Pharmacie de Casablanca,"Pharmacie de Casablanca, 160, bd El Ma... ",052280...,Rabat
26,Pharmacie de Bourgogne,"Pharmacie de Bourgogne, 341, bd Mohame... ",052227...,Rabat
27,Pharmacie ElMorakab Ettakafi,"Pharmacie ElMorakab Ettakafi,   derb A... ",052263...,Safe
28,Pharmacie Centre Commercial,"Pharmacie Centre Commercial, quartier ... ",052265...,Safe
29,Pharmacie AlAndaloussia,"Pharmacie AlAndaloussia, 126  rue Dom ... ",052298...,Safe
30,Pharmacie Taddart,"Pharmacie Taddart, 3 Bis, bd El Hachem... ",052228...,Safe
31,Pharmacie Du Rond Point Aicha  (Univers),Pharmacie Du Rond Point Aicha  (Univer... ,052224...,Safe
32,Pharmacie Prefecture Bernoussi,"Pharmacie Prefecture Bernoussi, cité ... ",052273...,Safe
33,Pharmacie derb Tolba,"Pharmacie derb Tolba, derb Chorfa Tolb... ",052285...,Safe
34,Pharmacie Khalil Al Fadl,"Pharmacie Khalil Al Fadl, 84  bd Med L... ",052272...,Safe
35,Pharmacie Aman,"Pharmacie Aman, Hay El Osra II, Lotiss... ",052252...,Safe
36,Pharmacie Casa Hills,"Pharmacie Casa Hills, quartier Ahl Log... ",066094...,Kenitra
37,Pharmacie Jnane Oulfa,"Pharmacie Jnane Oulfa, lotiss. Riad El... ",052289...,Kenitra
38,Pharmacie la Villette,"Pharmacie la Villette, 23, rue Abou Ba... ",052261...,Kenitra
39,Pharmacie Sabri,"Pharmacie Sabri, N°378, Boulevard Dak... ",052250...,Kenitra
40,Pharmacie le Projet,"Pharmacie le Projet, bd Dr Mohamed Jen... ",052262...,Kenitra
41,Pharmacie la Palmeraie,"Pharmacie la Palmeraie, Hay Al Qods, R... ",052273...,Kenitra
42,Pharmacie Annia,"Pharmacie Annia, lotiss. Assafa, imm. ... ",052293...,Kenitra
43,Pharmacie Al Walaâ,"Pharmacie Al Walaâ,   hay Alwalaa sec... ",052272...,Kenitra
44,Pharmacie Tam,"Pharmacie Tam, 302, bd Oued Sebou ... ",052290...,Kenitra
45,Pharmacie des Habous,"Pharmacie des Habous, 73, bd Victor Hu... ",052244...,Marrakech
46,Pharmacie du Caf,"Pharmacie du Caf, 1, rue Oukhouane - e... ",052239...,Marrakech
47,Pharmacie Parisienne -Ex Wilaya,"Pharmacie Parisienne -Ex Wilaya, 45  a... ",052222...,Marrakech
48,Pharmacie Alouati,"Pharmacie Alouati, Boulevard Fouarat, ... ",052260...,Marrakech
49,Pharmacie Alkhayria,"Pharmacie Alkhayria, avenue El Maati B... ",052270...,Marrakech
50,Pharmacie Belakhdar,"Pharmacie Belakhdar, Quartier Ahl Logh... ",052273...,Marrakech
51,Pharmacie L'enfant, ,053765...,Marrakech
52,Pharmacie Kasry,"Pharmacie Kasry, 90 amal 5 complément... ",053779...,Marrakech
53,Pharmacie Iswane,"Pharmacie Iswane, rue jaâfar essadik ... ",053767...,Marrakech
54,Pharmacie Secteur 15,"Pharmacie Secteur 15, 10 avenue mohame... ",053002...,Taza
55,Pharmacie Marassa,"Pharmacie Marassa, angle avenue misr e... ",053720...,Taza
56,Pharmacie Moulay Ismail,"Pharmacie Moulay Ismail,  
24.av mly... ",053720...,Taza
57,Pharmacie Al Bouchra, ,053779...,Taza
58,Pharmacie Ouikrane,"Pharmacie Ouikrane, 18  hay Bir Rami E... ",053760...,Taza
59,Pharmacie des Palmiers,"Pharmacie des Palmiers, rue Al Hizam, ... ",053738...,Taza
60,Pharmacie les Orangers,"Pharmacie les Orangers, 2447   Jnane 2... ",070605...,Taza
61,Pharmacie AlAbawayn,"Pharmacie AlAbawayn,   lotiss. Al Fadl... ",052433...,Taza
62,Pharmacie Oscar,"Pharmacie Oscar, 98, Lot. Azzaytoune M... ",052437...,Taza
63,Pharmacie Bab Jdid,"Pharmacie Bab Jdid, polyclinique kouto... ",052443...,Ouarzazate
64,Pharmacie Kenza,"Pharmacie Kenza, 299, massira 3 lettre... ",052449...,Ouarzazate
65,Pharmacie Oum Rabii,"Pharmacie Oum Rabii, massira 3 bloc c ... ",052434...,Ouarzazate
66,Pharmacie Al Ihssane,"Pharmacie Al Ihssane, 39, dar al bir w... ",052430...,Ouarzazate
67,Pharmacie Qaryia Syahyia,"Pharmacie Qaryia Syahyia, Qaria Syahia... ",052430...,Ouarzazate
68,Pharmacie Fleming,"Pharmacie Fleming, derrière le cimeti... ",052442...,Ouarzazate
69,Pharmacie Al Hamd,"Pharmacie Al Hamd, 251, Lot. Zerktouni... ",052436...,Ouarzazate
